geoid,name,state,county,tract,total_population,under_18_population,age_65_plus_population,white_alone_population,black_alone_population,asian_alone_population,hispanic_or_latino_population,median_household_income,households_total,households_no_vehicle,households_no_vehicle_pct,poverty_rate_pct
06085508503,Census Tract 5085.03; Santa Clara County; California,06,085,508503,6020,1270,674,1313,0,946,5,167763,2643,262,9.91,8.0
06085508505,Census Tract 5085.05; Santa Clara County; California,06,085,508505,4833,864,755,1505,0,1214,12,205625,2042,93,4.55,8.0
06085508507,Census Tract 5085.07; Santa Clara County; California,06,085,508507,3388,624,163,595,0,372,0,174267,1433,52,3.63,10.6
06085508508,Census Tract 5085.08; Santa Clara County; California,06,085,508508,5873,1408,740,1349,0,1094,64,133065,2022,83,4.1,10.3
06085508509,Census Tract 5085.09; Santa Clara County; California,06,085,508509,4240,351,811,718,0,594,0,161270,2240,504,22.5,9.2
06085508510,Census Tract 5085.10; Santa Clara County; California,06,085,508510,3606,729,234,509,0,470,0,174167,1292,180,13.93,14.2
06085508601,Census Tract 5086.01; Santa Clara County; California,06,085,508601,3914,841,565,1372,5,956,0,195804,1560,75,4.81,4.3
06085508602,Census Tract 5086.02; Santa Clara County; California,06,085,508602,6074,928,895,2546,0,1726,117,180959,2711,465,17.15,7.9
06085508705,Census Tract 5087.05; Santa Clara County; California,06,085,508705,4452,701,167,1172,0,893,11,189571,1905,136,7.14,1.7
06085508706,Census Tract 5087.06; Santa Clara County; California,06,085,508706,4295,562,662,818,0,603,0,216210,1637,108,6.6,4.3
06085508707,Census Tract 5087.07; Santa Clara County; California,06,085,508707,3907,647,293,825,0,689,27,173165,1573,143,9.09,7.0
06085508708,Census Tract 5087.08; Santa Clara County; California,06,085,508708,6682,745,148,826,17,615,0,250001,3172,465,14.66,7.3
06085508800,Census Tract 5088; Santa Clara County; California,06,085,508800,3619,433,322,533,0,414,113,143333,1400,73,5.21,7.8
06085508900,Census Tract 5089; Santa Clara County; California,06,085,508900,4428,931,435,790,0,609,8,156726,1601,33,2.06,8.0
06085509001,Census Tract 5090.01; Santa Clara County; California,06,085,509001,3031,574,394,775,38,658,0,162981,1093,23,2.1,7.6
06085509002,Census Tract 5090.02; Santa Clara County; California,06,085,509002,4097,808,374,693,0,512,27,175625,1434,21,1.46,6.2
06085509102,Census Tract 5091.02; Santa Clara County; California,06,085,509102,4704,799,447,1324,0,896,23,229505,2229,129,5.79,5.5
06085509106,Census Tract 5091.06; Santa Clara County; California,06,085,509106,4123,590,463,1578,0,1253,11,159951,1985,165,8.31,6.2
06085509107,Census Tract 5091.07; Santa Clara County; California,06,085,509107,5107,1311,156,1154,0,1054,40,143611,2070,204,9.86,4.6
06085509108,Census Tract 5091.08; Santa Clara County; California,06,085,509108,4617,653,593,1205,0,1039,271,219063,1869,134,7.17,4.0
06085509109,Census Tract 5091.09; Santa Clara County; California,06,085,509109,7153,1788,263,2083,0,1811,0,250001,2589,114,4.4,4.3
06085509110,Census Tract 5091.10; Santa Clara County; California,06,085,509110,3317,783,249,1470,0,1148,69,192045,1392,61,4.38,5.8
06085509111,Census Tract 5091.11; Santa Clara County; California,06,085,509111,4643,1094,704,1681,0,1262,10,135398,1989,137,6.89,7.6
06085509201,Census Tract 5092.01; Santa Clara County; California,06,085,509201,5287,792,651,2530,0,1946,11,182611,2681,301,11.23,1.8
06085509202,Census Tract 5092.02; Santa Clara County; California,06,085,509202,4222,859,541,1682,12,1249,145,228462,1636,120,7.33,10.4
06085509302,Census Tract 5093.02; Santa Clara County; California,06,085,509302,3508,800,639,1528,0,1194,327,169896,1222,114,9.33,5.2
06085509303,Census Tract 5093.03; Santa Clara County; California,06,085,509303,3565,629,814,1445,0,1227,52,175288,1651,236,14.29,5.4
06085509304,Census Tract 5093.04; Santa Clara County; California,06,085,509304,3175,582,237,1148,0,907,9,207381,1156,7,0.61,1.8
06085509401,Census Tract 5094.01; Santa Clara County; California,06,085,509401,4746,593,518,1914,0,1547,11,149258,2409,314,13.03,7.7
06085509403,Census Tract 5094.03; Santa Clara County; California,06,085,509403,4115,696,168,1431,0,1069,0,177847,2003,126,6.29,8.7
06085509404,Census Tract 5094.04; Santa Clara County; California,06,085,509404,6256,1060,760,2023,0,1788,9,203864,3208,239,7.45,3.7
06085509500,Census Tract 5095; Santa Clara County; California,06,085,509500,5617,913,409,1750,0,1229,91,178892,2555,364,14.25,7.9
06085509600,Census Tract 5096; Santa Clara County; California,06,085,509600,3724,726,302,1802,0,1299,2,188676,1712,96,5.61,14.7
06085509700,Census Tract 5097; Santa Clara County; California,06,085,509700,3064,704,408,1599,0,1097,29,209607,1375,89,6.47,4.6
06085509801,Census Tract 5098.01; Santa Clara County; California,06,085,509801,5969,1370,699,2869,0,2279,11,167957,2531,246,9.72,1.5
06085509802,Census Tract 5098.02; Santa Clara County; California,06,085,509802,3090,729,473,1062,0,758,59,220694,1119,37,3.31,7.6
06085509901,Census Tract 5099.01; Santa Clara County; California,06,085,509901,2602,824,428,1527,0,1388,4,250001,775,9,1.16,1.6
06085509902,Census Tract 5099.02; Santa Clara County; California,06,085,509902,5161,1170,1081,2458,0,1851,30,222955,1834,191,10.41,10.9
06085510001,Census Tract 5100.01; Santa Clara County; California,06,085,510001,5852,1412,967,3130,0,2709,13,250001,1959,74,3.78,2.2
06085510002,Census Tract 5100.02; Santa Clara County; California,06,085,510002,4131,1113,690,1939,10,1577,0,250001,1340,15,1.12,1.5
06085510100,Census Tract 5101; Santa Clara County; California,06,085,510100,2792,619,860,1474,0,1193,0,250001,1045,0,0.0,9.8
06085510200,Census Tract 5102; Santa Clara County; California,06,085,510200,4565,1141,996,2564,0,2038,0,250001,1574,35,2.22,0.9
06085510300,Census Tract 5103; Santa Clara County; California,06,085,510300,4649,1198,959,2342,19,1625,0,250001,1721,58,3.37,3.2
06085510400,Census Tract 5104; Santa Clara County; California,06,085,510400,3495,771,539,1491,0,1303,28,250001,1286,8,0.62,1.7
06085510500,Census Tract 5105; Santa Clara County; California,06,085,510500,4911,1165,1434,2450,0,1952,2,250001,1751,136,7.77,5.2
06085510600,Census Tract 5106; Santa Clara County; California,06,085,510600,6602,1744,1278,2623,0,1993,30,198068,2302,64,2.78,18.8
06085510700,Census Tract 5107; Santa Clara County; California,06,085,510700,4740,747,777,1796,0,1381,0,182266,2267,138,6.09,3.3
06085510801,Census Tract 5108.01; Santa Clara County; California,06,085,510801,5244,1283,1204,1705,0,1344,140,250001,1893,70,3.7,1.6
06085510802,Census Tract 5108.02; Santa Clara County; California,06,085,510802,2014,533,406,1088,0,868,0,250001,686,17,2.48,2.1
06085510803,Census Tract 5108.03; Santa Clara County; California,06,085,510803,3406,866,563,1398,0,1149,0,250001,1214,124,10.21,7.0
06085510900,Census Tract 5109; Santa Clara County; California,06,085,510900,4431,899,855,1965,0,1417,0,183536,1863,255,13.69,2.1
06085511000,Census Tract 5110; Santa Clara County; California,06,085,511000,7180,2079,1046,2611,14,2239,0,250001,2348,99,4.22,1.8
06085511100,Census Tract 5111; Santa Clara County; California,06,085,511100,5379,1089,1218,2481,0,1812,0,250001,1999,21,1.05,2.9
06085511200,Census Tract 5112; Santa Clara County; California,06,085,511200,4765,1115,763,2838,16,2321,33,250001,1728,32,1.85,2.6
06085511301,Census Tract 5113.01; Santa Clara County; California,06,085,511301,4163,685,854,2381,0,2076,55,238750,1670,124,7.43,3.4
06085511302,Census Tract 5113.02; Santa Clara County; California,06,085,511302,3880,603,1142,1779,0,1539,0,139167,1886,649,34.41,18.2
06085511400,Census Tract 5114; Santa Clara County; California,06,085,511400,3608,869,737,1959,12,1310,4,250001,1384,54,3.9,1.4
06085511501,Census Tract 5115.01; Santa Clara County; California,06,085,511501,4680,942,726,2558,0,1991,141,173470,1897,294,15.5,10.3
06085511502,Census Tract 5115.02; Santa Clara County; California,06,085,511502,3022,309,675,1997,8,1551,37,250001,858,8,0.93,0.8
06085511608,Census Tract 5116.08; Santa Clara County; California,06,085,511608,3316,34,0,1380,10,1114,77,42824,235,112,47.66,35.8
06085511609,Census Tract 5116.09; Santa Clara County; California,06,085,511609,3441,604,840,1603,11,1105,54,148365,1664,181,10.88,6.0
06085511701,Census Tract 5117.01; Santa Clara County; California,06,085,511701,4368,976,969,2732,0,1957,0,250001,1489,7,0.47,3.5
06085511702,Census Tract 5117.02; Santa Clara County; California,06,085,511702,2859,698,594,1529,0,1234,0,250001,966,6,0.62,3.8
06085511704,Census Tract 5117.04; Santa Clara County; California,06,085,511704,4480,804,1661,1795,0,1213,0,250001,1682,25,1.49,10.8
06085511705,Census Tract 5117.05; Santa Clara County; California,06,085,511705,2145,480,540,1278,0,1098,26,250001,642,15,2.34,2.3
06085511707,Census Tract 5117.07; Santa Clara County; California,06,085,511707,3047,458,1203,1712,8,1215,37,203068,1169,118,10.09,5.9
06085511800,Census Tract 5118; Santa Clara County; California,06,085,511800,4289,887,632,3335,0,2316,0,196786,1634,27,1.65,4.0
06085511905,Census Tract 5119.05; Santa Clara County; California,06,085,511905,3084,780,548,1389,0,1184,0,250001,1075,19,1.77,0.7
06085511907,Census Tract 5119.07; Santa Clara County; California,06,085,511907,4096,945,707,1469,44,1061,0,250001,1255,34,2.71,0.9
06085511910,Census Tract 5119.10; Santa Clara County; California,06,085,511910,2992,594,677,1689,0,1102,0,250001,1087,8,0.74,5.9
06085511911,Census Tract 5119.11; Santa Clara County; California,06,085,511911,4601,724,1046,2673,0,1925,121,167639,1973,29,1.47,7.0
06085511912,Census Tract 5119.12; Santa Clara County; California,06,085,511912,5286,1191,962,1854,0,1543,0,232214,1726,18,1.04,2.1
06085511913,Census Tract 5119.13; Santa Clara County; California,06,085,511913,4282,1102,760,2739,0,2261,1,250001,1432,0,0.0,0.6
06085511914,Census Tract 5119.14; Santa Clara County; California,06,085,511914,6287,1553,1224,2978,9,2346,10,250001,2080,49,2.36,1.9
06085511915,Census Tract 5119.15; Santa Clara County; California,06,085,511915,3754,1177,532,1220,0,902,0,81458,1393,373,26.78,16.7
06085511916,Census Tract 5119.16; Santa Clara County; California,06,085,511916,4483,1079,691,1833,0,1417,30,191735,1548,49,3.17,3.8
06085511917,Census Tract 5119.17; Santa Clara County; California,06,085,511917,4379,784,1026,1446,0,1041,17,250001,1638,14,0.85,0.8
06085511918,Census Tract 5119.18; Santa Clara County; California,06,085,511918,3243,740,661,1319,0,1034,0,250001,982,27,2.75,1.5
06085512001,Census Tract 5120.01; Santa Clara County; California,06,085,512001,6102,1257,833,1349,0,1116,90,205750,1846,39,2.11,1.7
06085512005,Census Tract 5120.05; Santa Clara County; California,06,085,512005,6650,1605,1032,3329,0,2408,0,198012,2148,12,0.56,3.2
06085512019,Census Tract 5120.19; Santa Clara County; California,06,085,512019,4380,991,769,1784,0,1185,19,122813,1517,43,2.83,14.3
06085512021,Census Tract 5120.21; Santa Clara County; California,06,085,512021,5782,1083,972,1742,0,1414,71,148548,1986,107,5.39,8.5
06085512022,Census Tract 5120.22; Santa Clara County; California,06,085,512022,6275,1376,1048,1023,0,610,136,94495,1880,117,6.22,17.9
06085512023,Census Tract 5120.23; Santa Clara County; California,06,085,512023,5346,1197,566,1326,0,916,94,106684,1892,85,4.49,5.6
06085512024,Census Tract 5120.24; Santa Clara County; California,06,085,512024,5288,1141,809,2192,0,1853,20,136168,1813,157,8.66,8.8
06085512025,Census Tract 5120.25; Santa Clara County; California,06,085,512025,3062,616,666,1274,0,785,74,220962,984,56,5.69,1.1
06085512026,Census Tract 5120.26; Santa Clara County; California,06,085,512026,3734,815,368,1025,0,797,0,160156,1245,18,1.45,3.4
06085512027,Census Tract 5120.27; Santa Clara County; California,06,085,512027,3908,742,882,1525,0,1209,27,106406,1547,141,9.11,7.2
06085512029,Census Tract 5120.29; Santa Clara County; California,06,085,512029,8115,1637,1102,3839,0,2567,27,180725,2529,17,0.67,1.7
06085512030,Census Tract 5120.30; Santa Clara County; California,06,085,512030,2898,773,503,1265,7,860,21,181326,899,36,4.0,4.0
06085512031,Census Tract 5120.31; Santa Clara County; California,06,085,512031,4099,1033,650,1763,0,1493,0,196727,1372,12,0.87,4.5
06085512032,Census Tract 5120.32; Santa Clara County; California,06,085,512032,3754,883,579,1248,0,1002,0,173750,1366,30,2.2,12.3
06085512034,Census Tract 5120.34; Santa Clara County; California,06,085,512034,2997,682,491,1143,0,835,4,157569,997,3,0.3,2.0
06085512035,Census Tract 5120.35; Santa Clara County; California,06,085,512035,4519,1253,716,1274,0,860,138,198632,1324,79,5.97,2.3
06085512036,Census Tract 5120.36; Santa Clara County; California,06,085,512036,4768,920,329,1473,0,1002,37,138841,1827,124,6.79,5.3
06085512037,Census Tract 5120.37; Santa Clara County; California,06,085,512037,2989,697,526,1051,28,748,27,184333,950,23,2.42,2.9
06085512038,Census Tract 5120.38; Santa Clara County; California,06,085,512038,3217,917,279,648,0,494,0,101308,993,40,4.03,8.4
06085512039,Census Tract 5120.39; Santa Clara County; California,06,085,512039,5717,1459,465,835,0,685,135,134158,1435,52,3.62,11.9
06085512042,Census Tract 5120.42; Santa Clara County; California,06,085,512042,2830,625,414,251,0,209,74,111875,777,65,8.37,9.6
06085512043,Census Tract 5120.43; Santa Clara County; California,06,085,512043,5266,1138,976,800,24,430,26,81984,1681,215,12.79,7.1
06085512045,Census Tract 5120.45; Santa Clara County; California,06,085,512045,5086,1146,749,2132,0,1656,0,181528,1705,85,4.99,3.9
06085512047,Census Tract 5120.47; Santa Clara County; California,06,085,512047,5315,837,905,2472,56,1639,106,180909,1634,31,1.9,3.4
06085512052,Census Tract 5120.52; Santa Clara County; California,06,085,512052,4491,765,777,1602,0,1041,0,132699,1733,155,8.94,5.5
06085512053,Census Tract 5120.53; Santa Clara County; California,06,085,512053,4815,881,729,1591,0,1084,284,117292,1643,52,3.16,6.3
06085512054,Census Tract 5120.54; Santa Clara County; California,06,085,512054,4457,913,77,874,0,482,112,105292,1825,136,7.45,12.0
06085512055,Census Tract 5120.55; Santa Clara County; California,06,085,512055,3595,661,836,323,0,260,108,124398,864,14,1.62,6.3
06085512056,Census Tract 5120.56; Santa Clara County; California,06,085,512056,3807,863,479,655,0,527,163,123674,1045,61,5.84,8.3
06085512057,Census Tract 5120.57; Santa Clara County; California,06,085,512057,4385,774,687,755,0,554,0,176016,1039,89,8.57,9.6
06085512058,Census Tract 5120.58; Santa Clara County; California,06,085,512058,5561,916,154,1208,0,1022,125,138750,2452,102,4.16,4.4
06085512059,Census Tract 5120.59; Santa Clara County; California,06,085,512059,7000,1507,809,2620,44,2093,62,176250,2262,17,0.75,5.2
06085512100,Census Tract 5121; Santa Clara County; California,06,085,512100,1710,421,252,433,0,252,10,121563,453,4,0.88,6.9
06085512200,Census Tract 5122; Santa Clara County; California,06,085,512200,5146,1180,1074,2910,0,2093,16,250001,1671,40,2.39,2.9
06085512305,Census Tract 5123.05; Santa Clara County; California,06,085,512305,4029,875,672,2042,0,1448,10,247321,1301,7,0.54,1.8
06085512307,Census Tract 5123.07; Santa Clara County; California,06,085,512307,6529,1221,1783,3197,0,2371,14,148064,2347,97,4.13,3.4
06085512308,Census Tract 5123.08; Santa Clara County; California,06,085,512308,8550,2336,1189,4818,0,3474,119,248750,2724,16,0.59,3.0
06085512309,Census Tract 5123.09; Santa Clara County; California,06,085,512309,5110,1192,1026,2656,37,1985,0,210212,1682,75,4.46,1.1
06085512310,Census Tract 5123.10; Santa Clara County; California,06,085,512310,5234,1650,644,1771,0,1473,233,100506,1793,181,10.09,8.3
06085512311,Census Tract 5123.11; Santa Clara County; California,06,085,512311,4119,1125,501,1678,0,1037,60,139074,1312,46,3.51,6.3
06085512312,Census Tract 5123.12; Santa Clara County; California,06,085,512312,4066,1230,434,1679,0,1165,89,206208,1261,0,0.0,0.7
06085512313,Census Tract 5123.13; Santa Clara County; California,06,085,512313,4008,1172,418,1342,0,930,38,107198,1193,46,3.86,11.0
06085512314,Census Tract 5123.14; Santa Clara County; California,06,085,512314,7110,1920,1000,2646,0,2198,66,152349,2217,103,4.65,7.8
06085512401,Census Tract 5124.01; Santa Clara County; California,06,085,512401,3961,734,929,1870,0,1386,98,197540,1309,23,1.76,12.3
06085512402,Census Tract 5124.02; Santa Clara County; California,06,085,512402,5696,1068,1167,2593,0,1934,0,148833,1634,55,3.37,5.7
06085512505,Census Tract 5125.05; Santa Clara County; California,06,085,512505,7683,2105,734,2304,0,1945,26,99742,2296,82,3.57,7.2
06085512509,Census Tract 5125.09; Santa Clara County; California,06,085,512509,7855,2522,809,1801,185,1252,277,184500,1954,27,1.38,2.4
06085512510,Census Tract 5125.10; Santa Clara County; California,06,085,512510,7673,1734,1711,3183,0,2759,39,117083,2670,226,8.46,3.7
06085512511,Census Tract 5125.11; Santa Clara County; California,06,085,512511,4774,1256,810,2036,0,1253,29,124625,1556,206,13.24,12.3
06085512512,Census Tract 5125.12; Santa Clara County; California,06,085,512512,3406,821,422,996,0,728,0,101793,1043,18,1.73,12.0
06085512513,Census Tract 5125.13; Santa Clara County; California,06,085,512513,4003,1160,404,687,0,455,16,84934,1152,55,4.77,5.2
06085512514,Census Tract 5125.14; Santa Clara County; California,06,085,512514,2899,815,290,594,0,539,64,111250,824,41,4.98,7.5
06085512515,Census Tract 5125.15; Santa Clara County; California,06,085,512515,4837,1170,597,2489,0,1899,22,176250,1492,19,1.27,0.9
06085512516,Census Tract 5125.16; Santa Clara County; California,06,085,512516,4322,1077,603,1747,0,1089,0,159137,1454,16,1.1,5.7
06085512602,Census Tract 5126.02; Santa Clara County; California,06,085,512602,3124,563,596,995,0,789,16,140556,840,8,0.95,9.0
06085512603,Census Tract 5126.03; Santa Clara County; California,06,085,512603,4877,1365,423,769,0,582,0,90139,1203,69,5.74,14.8
06085512604,Census Tract 5126.04; Santa Clara County; California,06,085,512604,4637,1337,545,680,12,512,47,83946,1145,13,1.14,7.7
06085513000,Census Tract 5130; Santa Clara County; California,06,085,513000,12324,587,17,5542,0,4437,232,53696,2335,1020,43.68,21.9
06085513500,Census Tract 5135; Santa Clara County; California,06,085,513500,1009,123,249,678,0,509,5,102750,281,0,0.0,15.3
